/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 15.13M (codec d=384, frozen=True)
step    3500 | cos 0.5164 | thought 1.1113 dec_ce 2.0173 | 5.4 it/s
step    3550 | cos 0.5162 | thought 1.1436 dec_ce 2.0575 | 5.1 it/s
step    3600 | cos 0.5149 | thought 1.1778 dec_ce 2.0059 | 5.3 it/s
step    3650 | cos 0.5166 | thought 1.1211 dec_ce 1.9449 | 5.4 it/s
step    3700 | cos 0.5163 | thought 1.1298 dec_ce 1.9569 | 5.3 it/s
step    3750 | cos 0.5172 | thought 1.0834 dec_ce 1.9661 | 5.4 it/s
step    3800 | cos 0.5121 | thought 1.0991 dec_ce 2.0312 | 5.3 it/s
step    3850 | cos 0.5171 | thought 1.1419 dec_ce 2.0053 | 5.3 it/s
step    3900 | cos 0.5183 | thought 1.0543 dec_ce 1.9927 | 5.3 it/s
step    3950 | cos 0.5201 | thought 1.0691 dec_ce 2.1141 | 5.5 it/s
step    4000 | cos 0.5191 | thought 1.1056 dec_ce 2.0211 | 5.3 it/s
step    4000 | VAL cos 0.5217 | VAL dec CE 3.8374
step    4050 | cos 0.5206 | thought 1.0997 dec_ce 2.0333 | 4.1 it/s
step    4100 | cos 0.5167 | thought 1.0978 dec_ce 2.0514 | 5.4 it/s
step    4150 | cos 0.5182 | thought 1.0306 dec_ce 1.9312 | 5.2 it/s
step    4200 | cos 0.5214 | thought 1.096 dec_ce 2.0898 | 5.3 it/s
step    4250 | cos 0.5213 | thought 1.0268 dec_ce 1.9211 | 5.3 it/s
step    4300 | cos 0.5251 | thought 1.0653 dec_ce 2.059 | 5.3 it/s
step    4350 | cos 0.5207 | thought 1.0362 dec_ce 1.9337 | 5.2 it/s
step    4400 | cos 0.5231 | thought 1.0429 dec_ce 2.0236 | 5.4 it/s
step    4450 | cos 0.5232 | thought 1.0623 dec_ce 2.1056 | 5.4 it/s
step    4500 | cos 0.5263 | thought 1.0096 dec_ce 2.037 | 5.3 it/s
step    4550 | cos 0.5257 | thought 1.0544 dec_ce 1.9958 | 5.1 it/s
step    4600 | cos 0.5262 | thought 1.0617 dec_ce 2.0359 | 5.5 it/s
step    4650 | cos 0.5265 | thought 1.0061 dec_ce 1.9598 | 5.4 it/s
step    4700 | cos 0.5251 | thought 1.0259 dec_ce 1.9867 | 5.4 it/s
step    4750 | cos 0.5242 | thought 1.0443 dec_ce 1.9003 | 5.1 it/s
step    4800 | cos 0.5225 | thought 1.0309 dec_ce 2.0638 | 5.2 it/s
step    4850 | cos 0.5285 | thought 1.0703 dec_ce 2.1523 | 5.2 it/s
step    4900 | cos 0.5312 | thought 1.0127 dec_ce 1.9905 | 5.3 it/s
step    4950 | cos 0.5295 | thought 1.0167 dec_ce 1.9992 | 5.4 it/s
step    5000 | cos 0.5247 | thought 1.0368 dec_ce 2.0347 | 5.3 it/s
step    5050 | cos 0.5316 | thought 0.9679 dec_ce 1.9702 | 5.1 it/s
step    5100 | cos 0.5278 | thought 0.9971 dec_ce 1.9183 | 5.3 it/s
step    5150 | cos 0.5254 | thought 1.0193 dec_ce 1.989 | 5.3 it/s
step    5200 | cos 0.5275 | thought 1.0156 dec_ce 2.0125 | 5.3 it/s
step    5250 | cos 0.5278 | thought 1.0213 dec_ce 2.1589 | 5.2 it/s
step    5300 | cos 0.5301 | thought 0.9484 dec_ce 1.9815 | 5.3 it/s
step    5350 | cos 0.5327 | thought 0.9653 dec_ce 1.9743 | 5.4 it/s
step    5400 | cos 0.5317 | thought 1.0054 dec_ce 2.0376 | 5.4 it/s
step    5450 | cos 0.5316 | thought 0.9562 dec_ce 1.9377 | 5.5 it/s
step    5500 | cos 0.5293 | thought 0.9969 dec_ce 2.0144 | 5.4 it/s
step    5550 | cos 0.5285 | thought 0.956 dec_ce 1.9745 | 5.3 it/s
step    5600 | cos 0.5332 | thought 0.9716 dec_ce 2.0364 | 5.3 it/s
step    5650 | cos 0.5333 | thought 0.9566 dec_ce 1.9042 | 5.4 it/s
step    5700 | cos 0.5325 | thought 0.9672 dec_ce 1.8813 | 5.4 it/s
step    5750 | cos 0.5324 | thought 0.9637 dec_ce 1.931 | 5.4 it/s
step    5800 | cos 0.5312 | thought 1.0049 dec_ce 2.0314 | 5.4 it/s
step    5850 | cos 0.5327 | thought 0.9857 dec_ce 2.0915 | 5.5 it/s
step    5900 | cos 0.5326 | thought 0.9848 dec_ce 2.0644 | 5.4 it/s
step    5950 | cos 0.5323 | thought 0.9407 dec_ce 1.8233 | 5.4 it/s
step    6000 | cos 0.5354 | thought 0.9526 dec_ce 1.8847 | 5.5 it/s
