/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 32.03M (codec d=384, frozen=True)
step    3500 | cos 0.4733 | thought 0.7706 dec_ce 2.0259 | 3.3 it/s
step    3550 | cos 0.4740 | thought 0.7869 dec_ce 1.9791 | 3.2 it/s
step    3600 | cos 0.4750 | thought 0.7647 dec_ce 1.9891 | 3.3 it/s
step    3650 | cos 0.4743 | thought 0.7683 dec_ce 2.0443 | 3.3 it/s
step    3700 | cos 0.4736 | thought 0.7781 dec_ce 1.9722 | 3.3 it/s
step    3750 | cos 0.4767 | thought 0.777 dec_ce 2.0814 | 3.3 it/s
step    3800 | cos 0.4746 | thought 0.7498 dec_ce 2.0003 | 3.3 it/s
step    3850 | cos 0.4720 | thought 0.7611 dec_ce 1.919 | 3.4 it/s
step    3900 | cos 0.4766 | thought 0.7702 dec_ce 2.0592 | 3.3 it/s
step    3950 | cos 0.4752 | thought 0.7591 dec_ce 1.9897 | 3.4 it/s
step    4000 | cos 0.4761 | thought 0.7684 dec_ce 1.9634 | 3.3 it/s
step    4000 | VAL cos 0.4783 | VAL dec CE 3.9429
step    4050 | cos 0.4778 | thought 0.7607 dec_ce 1.9187 | 2.7 it/s
step    4100 | cos 0.4755 | thought 0.7517 dec_ce 1.9619 | 3.3 it/s
step    4150 | cos 0.4755 | thought 0.7649 dec_ce 2.0486 | 3.3 it/s
step    4200 | cos 0.4787 | thought 0.7666 dec_ce 1.9079 | 3.3 it/s
step    4250 | cos 0.4757 | thought 0.7588 dec_ce 1.97 | 3.3 it/s
step    4300 | cos 0.4780 | thought 0.763 dec_ce 2.021 | 3.3 it/s
step    4350 | cos 0.4771 | thought 0.7499 dec_ce 2.002 | 3.3 it/s
step    4400 | cos 0.4789 | thought 0.7788 dec_ce 2.0223 | 3.3 it/s
step    4450 | cos 0.4772 | thought 0.7778 dec_ce 2.0301 | 3.3 it/s
step    4500 | cos 0.4768 | thought 0.745 dec_ce 1.8771 | 3.3 it/s
step    4550 | cos 0.4780 | thought 0.7682 dec_ce 1.9202 | 3.2 it/s
step    4600 | cos 0.4799 | thought 0.7715 dec_ce 1.9909 | 3.3 it/s
step    4650 | cos 0.4774 | thought 0.7683 dec_ce 1.9214 | 3.3 it/s
step    4700 | cos 0.4788 | thought 0.7558 dec_ce 2.0628 | 3.3 it/s
step    4750 | cos 0.4776 | thought 0.7658 dec_ce 2.0417 | 3.3 it/s
step    4800 | cos 0.4780 | thought 0.7556 dec_ce 2.0109 | 3.3 it/s
step    4850 | cos 0.4768 | thought 0.751 dec_ce 1.9401 | 3.3 it/s
step    4900 | cos 0.4781 | thought 0.7731 dec_ce 1.9513 | 3.3 it/s
step    4950 | cos 0.4789 | thought 0.7687 dec_ce 1.9221 | 3.3 it/s
step    5000 | cos 0.4816 | thought 0.7538 dec_ce 1.9526 | 3.3 it/s
step    5050 | cos 0.4793 | thought 0.7987 dec_ce 2.1155 | 3.1 it/s
step    5100 | cos 0.4798 | thought 0.7778 dec_ce 1.96 | 3.4 it/s
step    5150 | cos 0.4777 | thought 0.7488 dec_ce 2.0211 | 3.3 it/s
step    5200 | cos 0.4788 | thought 0.7476 dec_ce 1.9628 | 3.3 it/s
step    5250 | cos 0.4794 | thought 0.7666 dec_ce 1.995 | 3.2 it/s
step    5300 | cos 0.4797 | thought 0.7675 dec_ce 1.9721 | 3.3 it/s
step    5350 | cos 0.4830 | thought 0.7745 dec_ce 2.0341 | 3.3 it/s
step    5400 | cos 0.4847 | thought 0.7826 dec_ce 2.0419 | 3.3 it/s
step    5450 | cos 0.4804 | thought 0.7979 dec_ce 2.0669 | 3.2 it/s
step    5500 | cos 0.4817 | thought 0.7595 dec_ce 1.9203 | 3.3 it/s
step    5550 | cos 0.4792 | thought 0.7691 dec_ce 2.1209 | 3.2 it/s
step    5600 | cos 0.4786 | thought 0.7671 dec_ce 2.01 | 3.3 it/s
step    5650 | cos 0.4776 | thought 0.7745 dec_ce 1.982 | 3.3 it/s
step    5700 | cos 0.4796 | thought 0.7711 dec_ce 2.123 | 3.3 it/s
step    5750 | cos 0.4789 | thought 0.7374 dec_ce 1.8899 | 3.3 it/s
step    5800 | cos 0.4811 | thought 0.7638 dec_ce 2.0139 | 3.3 it/s
step    5850 | cos 0.4800 | thought 0.7836 dec_ce 2.0936 | 3.3 it/s
step    5900 | cos 0.4809 | thought 0.7921 dec_ce 2.0837 | 3.4 it/s
step    5950 | cos 0.4801 | thought 0.7509 dec_ce 1.9265 | 3.3 it/s
step    6000 | cos 0.4779 | thought 0.7905 dec_ce 2.0734 | 3.3 it/s
step    6000 | VAL cos 0.4841 | VAL dec CE 3.9230
step    6050 | cos 0.4817 | thought 0.7533 dec_ce 1.9072 | 2.7 it/s
step    6100 | cos 0.4787 | thought 0.7636 dec_ce 2.0563 | 3.3 it/s
step    6150 | cos 0.4814 | thought 0.7503 dec_ce 2.0145 | 3.3 it/s
step    6200 | cos 0.4811 | thought 0.7782 dec_ce 2.0296 | 3.3 it/s
step    6250 | cos 0.4801 | thought 0.7676 dec_ce 2.0036 | 3.2 it/s
step    6300 | cos 0.4784 | thought 0.7908 dec_ce 2.0375 | 3.3 it/s
step    6350 | cos 0.4797 | thought 0.7345 dec_ce 1.9417 | 3.3 it/s
step    6400 | cos 0.4822 | thought 0.7457 dec_ce 1.9015 | 3.2 it/s
step    6450 | cos 0.4824 | thought 0.7574 dec_ce 2.0073 | 3.3 it/s
step    6500 | cos 0.4819 | thought 0.7399 dec_ce 1.8255 | 3.2 it/s
step    6550 | cos 0.4826 | thought 0.7631 dec_ce 1.9987 | 3.2 it/s
step    6600 | cos 0.4850 | thought 0.7405 dec_ce 1.8772 | 3.2 it/s
step    6650 | cos 0.4811 | thought 0.741 dec_ce 1.9205 | 3.4 it/s
step    6700 | cos 0.4809 | thought 0.7323 dec_ce 1.9345 | 3.3 it/s
step    6750 | cos 0.4817 | thought 0.7505 dec_ce 1.8998 | 3.4 it/s
step    6800 | cos 0.4821 | thought 0.7563 dec_ce 1.9356 | 3.3 it/s
step    6850 | cos 0.4802 | thought 0.7099 dec_ce 1.867 | 3.3 it/s
step    6900 | cos 0.4824 | thought 0.7586 dec_ce 2.0033 | 3.3 it/s
step    6950 | cos 0.4821 | thought 0.7771 dec_ce 1.9854 | 3.3 it/s
step    7000 | cos 0.4827 | thought 0.7537 dec_ce 2.0896 | 3.3 it/s
step    7050 | cos 0.4801 | thought 0.7147 dec_ce 1.8697 | 3.3 it/s
step    7100 | cos 0.4818 | thought 0.7478 dec_ce 1.8763 | 3.3 it/s
step    7150 | cos 0.4808 | thought 0.7921 dec_ce 2.146 | 3.2 it/s
step    7200 | cos 0.4824 | thought 0.7573 dec_ce 1.9653 | 3.3 it/s
step    7250 | cos 0.4797 | thought 0.7488 dec_ce 1.9732 | 3.2 it/s
step    7300 | cos 0.4850 | thought 0.7485 dec_ce 1.9479 | 3.3 it/s
step    7350 | cos 0.4854 | thought 0.7691 dec_ce 1.9531 | 3.2 it/s
step    7400 | cos 0.4843 | thought 0.7294 dec_ce 1.9612 | 3.3 it/s
step    7450 | cos 0.4810 | thought 0.7521 dec_ce 2.0745 | 3.3 it/s
step    7500 | cos 0.4831 | thought 0.7723 dec_ce 1.944 | 3.3 it/s
step    7550 | cos 0.4854 | thought 0.7453 dec_ce 1.9062 | 3.2 it/s
step    7600 | cos 0.4842 | thought 0.7525 dec_ce 2.0156 | 3.4 it/s
step    7650 | cos 0.4831 | thought 0.7561 dec_ce 1.9229 | 3.4 it/s
step    7700 | cos 0.4821 | thought 0.7472 dec_ce 1.9631 | 3.3 it/s
step    7750 | cos 0.4834 | thought 0.7629 dec_ce 1.9326 | 3.2 it/s
step    7800 | cos 0.4809 | thought 0.7734 dec_ce 2.0 | 3.3 it/s
step    7850 | cos 0.4832 | thought 0.7787 dec_ce 2.0188 | 3.3 it/s
step    7900 | cos 0.4834 | thought 0.7601 dec_ce 1.9287 | 3.3 it/s
step    7950 | cos 0.4826 | thought 0.7499 dec_ce 1.9453 | 3.3 it/s
step    8000 | cos 0.4836 | thought 0.7721 dec_ce 2.0266 | 3.3 it/s
step    8000 | VAL cos 0.4859 | VAL dec CE 3.9018
step    8050 | cos 0.4814 | thought 0.7613 dec_ce 1.9934 | 2.7 it/s
step    8100 | cos 0.4861 | thought 0.7559 dec_ce 1.9353 | 3.3 it/s
step    8150 | cos 0.4823 | thought 0.7881 dec_ce 2.0953 | 3.2 it/s
step    8200 | cos 0.4833 | thought 0.753 dec_ce 1.9765 | 3.3 it/s
step    8250 | cos 0.4854 | thought 0.7642 dec_ce 2.0305 | 3.3 it/s
step    8300 | cos 0.4842 | thought 0.779 dec_ce 2.0093 | 3.3 it/s
step    8350 | cos 0.4836 | thought 0.7241 dec_ce 1.7337 | 3.3 it/s
step    8400 | cos 0.4856 | thought 0.7454 dec_ce 1.9236 | 3.3 it/s
step    8450 | cos 0.4839 | thought 0.7438 dec_ce 1.9072 | 3.3 it/s
step    8500 | cos 0.4860 | thought 0.7682 dec_ce 1.9532 | 3.3 it/s
step    8550 | cos 0.4834 | thought 0.7336 dec_ce 1.9212 | 3.3 it/s
step    8600 | cos 0.4855 | thought 0.7749 dec_ce 1.9928 | 3.3 it/s
step    8650 | cos 0.4847 | thought 0.7589 dec_ce 1.9637 | 3.3 it/s
step    8700 | cos 0.4861 | thought 0.7737 dec_ce 2.0486 | 3.3 it/s
step    8750 | cos 0.4861 | thought 0.7652 dec_ce 1.9555 | 3.3 it/s
step    8800 | cos 0.4863 | thought 0.7147 dec_ce 1.8776 | 3.2 it/s
